,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
84,en,U.S.A.,,,,bizy_flow,Sun Dec 31 03:16:26 +0000 2017,0,1,1,False,0,False,,"# cryptocurrency # cardano # doge # siacoin # golem # bytecoin looking heavy hitters returns 2018 keep watch these.. solid track records , low cost good history . https : //t.co/6az6abefim"
85,en,your .. memory,,,,indianinchicago,Sun Dec 31 02:52:26 +0000 2017,0,0,0,False,0,False,,# bitcoincash bounties promised @ proffaustus # 2018 make $ bch 🚀🚀🚀 # bitcoin # cardano # ethereum # litecoin
86,en,chicago il,,,,leftyhokum,Sun Dec 31 02:29:44 +0000 2017,0,0,0,False,0,False,,smart dude ! charles hoskinson cardano ! https : //t.co/sfzt8s1jtj via @ youtube
87,en,"Troy, IL",,,,BitsBeTrippin,Sun Dec 31 01:57:48 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/vni7cfcx0g live : charles hoskinson cardano !
88,en,"Block 3.14159265359
",,,,PieceOfThePy,Sun Dec 31 01:55:27 +0000 2017,0,1,0,False,0,False,,excited see # cardano # going . # excited # nye2017 # cryptocurreny # cryptolife
89,en,"New York, NY",,,,AltcoinNerd,Sun Dec 31 01:54:28 +0000 2017,0,0,0,False,0,False,,cardano taking today 30 % gain . congrats hodlers 🔥 # $
90,en,Las Vegas,,,,SenLV,Sun Dec 31 01:54:14 +0000 2017,0,0,0,False,0,False,,cardano hitting time highs . glad got @ .13. think 'm gon hodl . bitcoin is… https : //t.co/aqkcmwnhea
91,en,New York City,,,,ArisenDragon,Sun Dec 31 01:46:23 +0000 2017,0,0,0,False,0,False,,cardano move https : //t.co/zjrvjyiqma
92,en,Providence RI,,,,TBWModelJB,Sun Dec 31 01:42:44 +0000 2017,0,0,0,False,0,False,,watched live charles hoskinson cardano.and wow ! things company going ... https : //t.co/0nqmcup2ni
93,en,"Chandler, AZ",,,,Neoj1n,Sun Dec 31 01:34:17 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/0cgnwicjks cardano : ethereum & amp ; neo killer over-price + valued ? / mcafee loses crypto
94,en,Northern California,,,,earnwithmelton,Sun Dec 31 01:30:07 +0000 2017,0,0,1,False,0,False,,live : charles hoskinson cardano ! https : //t.co/c3vzjpzzlm # cardano # charles hoskinson https : //t.co/birr9ccqjk
95,en,Scottsdale/ Rio De Janeiro  ,,,,Bread__Season,Sun Dec 31 01:29:52 +0000 2017,0,0,0,False,0,True,,adapt get left behind # bitcoin # ethereum # ripple # litecoin # crypto # money # monero # iota # cardano https : //t.co/eyclttadal
96,en,United States,,,,NCDFS,Sun Dec 31 01:19:46 +0000 2017,0,0,0,False,0,False,,live : charles hoskinson cardano ! https : //t.co/mvidjl4x2u via @ youtube
97,en,los angeles,,,,bullygeek,Sun Dec 31 01:15:31 +0000 2017,0,0,0,False,0,False,,ur # cardano # alerts popping # # leggo https : //t.co/e5v1dnmq5e
98,en,"Tampa, FL",,,,dollar_passion,Sun Dec 31 01:12:14 +0000 2017,0,1,1,False,0,False,,get tips news # cryptocurrency https : //t.co/1tvqdkjjev # bitcoin # altcoin # ethereum # litecoin # tron # verge # ripple # cardano
99,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 01:11:49 +0000 2017,0,0,1,False,0,False,,cardano $ new time high ! last price : $ 0.71 usd
100,en,"Las Vegas, NV",,,,NV_Patriot,Sun Dec 31 01:06:17 +0000 2017,0,0,0,False,0,False,,go @ adacoin_ go ! # # cardano # bullish # bittrex # hodl
101,en,"Los Angeles, CA",,,,BitcoinLouie,Sun Dec 31 01:02:31 +0000 2017,0,0,0,False,0,True,,cardano creator interview ! ! https : //t.co/3n7vzkwf6w
102,en,"St Petersburg, FL",,,,anukashi,Sun Dec 31 00:59:20 +0000 2017,0,0,0,False,0,False,,’ forget # # cardano slowly going towards $ 1
103,en,Philadelphia PA,,,,JVizionServices,Sun Dec 31 00:57:17 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/yngribuqnw cardano : ethereum & amp ; neo killer over-price + valued ? / mcafee loses crypto
104,en,"Puerto plata, DR",,,,BrkinElegance,Sun Dec 31 00:55:48 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/ge518rkucy live : charles hoskinson cardano !
105,en,los angeles,,,,bullygeek,Sun Dec 31 00:53:32 +0000 2017,0,0,0,False,0,False,,yezzzzz # cardano 👏👏👏 lets pass yesterdays high ! volume ! $ # # cryptocurrency
106,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 00:52:59 +0000 2017,0,0,1,False,0,False,,cardano $ new time high ! last price : $ 0.70 usd
107,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 00:51:48 +0000 2017,0,0,0,False,0,False,,cardano $ new time high ! last price : 0.00005574 btc
108,en,"Las Vegas, NV",,,,crypt0snews,Sun Dec 31 00:51:00 +0000 2017,4,5,13,False,0,False,,live : charles hoskinson cardano ! https : //t.co/zvniodele5
109,en,"Grass Valley, CA",,,,7epless,Sun Dec 31 00:49:03 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/yystn1nslo live : charles hoskinson cardano !
110,en,"Portland, OR",,,,PortlandCrypto,Sun Dec 31 00:46:56 +0000 2017,0,1,0,False,0,False,,fact cardano almost 4x marketcap $ neo blows fucking mind
111,en,"Los Angeles, CA",,,,evankopelson,Sun Dec 31 00:46:27 +0000 2017,0,0,0,False,0,False,,"liked @ youtube video https : //t.co/0m4rlaftxp cardano crushes , ripple stays steady # 2 bitcoin 's dominance slips"
112,en,"Hawaii, USA",,,,skasta_,Sun Dec 31 00:42:51 +0000 2017,0,0,1,False,0,False,,"$ decided break 's flat top , .00005224 level , volume coming .00005350 . run baby run . $ xrp # crypto # cryptocurency # cardano # cardanocoin $ btc https : //t.co/i28vcf3tdy"
113,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 00:40:28 +0000 2017,0,0,0,False,0,False,,cardano $ new time high ! last price : 0.00005260 btc
114,en,"Kansas City, MO",,,,91Jayhawk,Sun Dec 31 00:39:41 +0000 2017,0,1,0,False,0,False,,"# cardano ( # ) holders - anyone else problems syncing daedalus wallet network today ? says 's syncing , instead getting closer 100 % , keeps going backwards , almost n't keep ."
115,en,"NYC, NY",,,,White_Jae,Sun Dec 31 00:30:51 +0000 2017,0,0,0,False,0,False,,"added video @ youtube playlist https : //t.co/vy4tk5wqp2 price predictions : ripple ( $ xrp ) , cardano ( $ ) , ( $ xem ) , stellar"
116,en,"NYC, NY",,,,White_Jae,Sun Dec 31 00:30:45 +0000 2017,0,0,1,False,0,False,,"liked @ youtube video https : //t.co/vy4tk5wqp2 price predictions : ripple ( $ xrp ) , cardano ( $ ) , ( $ xem ) , stellar ( $ xlm ) , tron"
117,en,"Laguna Niguel, CA",,,,ZKamal23,Sun Dec 31 00:20:12 +0000 2017,0,1,0,False,0,False,,everyone think cardano 's price reach 2018 ? @ cardanocom
118,en,"Hollywood, USA",,,,Chandra_Trauth,Sun Dec 31 00:11:19 +0000 2017,0,0,0,False,0,False,,rt ! - & gt ; cardano : ethereum & amp ; neo killer over-price + valued ? / mcafee loses crypto cred / etherdelta ? https : //t.co/mpbe2vgy4r # crypto
