text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"Is Cardano Better than Ethereum?
 Watch Now 👉https://t.co/8OkBJMJSwp https://t.co/a18Ng18py0",en,Seattle,,,,muarafatan,Sun Dec 31 06:37:07 +0000 2017,0,0,0,False,0,False,
just watched an AMA session with @IOHK_Charles about #Cardano. Its extremely refreshing to see someone really knowing what hes doing with clear objective thoughts and focus in the project. For sure a rare example in this sea of memes and profit-seekers that is crypto nowadays.,en,"Ann Arbor, MI",,,,leprevostfv,Sun Dec 31 06:34:10 +0000 2017,0,0,0,False,0,False,
Cardano | $ADA - 0.82 by EOD? Pretty please? - https://t.co/Ac6tmM88SZ,en,United States,,,,cryptocoinviz,Sun Dec 31 06:02:03 +0000 2017,0,0,0,False,0,False,
Buy $TRX forget about ripple cardano and others beware,en,"Minnesota, USA",,,,mak93728437,Sun Dec 31 05:58:37 +0000 2017,0,0,0,False,0,False,
"get your positions now while you still can. #Vergecurrency #xvg  #WraithProtocol is going to moon

use your profits from other coins are enter verge now while you can
#xrp #ripple #ada #cardano #poe coin",en,"California, USA",,,,cryptoworld23,Sun Dec 31 05:26:46 +0000 2017,0,2,2,False,0,False,
RT! -&gt; Cardano: The Latest Crypto to Springboard to New Highs https://t.co/wOxuP1aPeR #crypto,en,"Hollywood, USA",,,,Chandra_Trauth,Sun Dec 31 05:26:24 +0000 2017,0,0,0,False,0,False,
"Cardano Crushes It, Ripple Stays Steady at #2 and Bitcoin's Dominance Slips https://t.co/IxLSdZJPWg",en,"Virginia, USA",,,,HR_Bitcoin,Sun Dec 31 05:02:31 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/kPcvfeBhJO LIVE: AMA With Charles Hoskinson of Cardano!,en,"Atlanta, GA",,,,KyleWallon,Sun Dec 31 05:00:34 +0000 2017,0,0,0,False,0,False,
"Currently own Litecoin,Ripple,Electroneum,Ethereum and Cardano! 🚀 🚀 🌙 🌙",en,"Rancho Cucamonga, CA",,,,Samuel909_,Sun Dec 31 04:58:14 +0000 2017,0,0,0,False,0,False,
"#Verge #WraithProtocol is about to lift off! Look at #XVG on #CoinMarketCap #Invest while the price is still relatively low.  #CryptoCurrency #Bitcoin #Cardano #ADA #DEEPOnion #Anonymous #YouMakeTheChoice #Komodo #KMD #XRP #ETH #PumpUpTheJam

https://t.co/jD9P2UjoFc",en,"Charlotte, NC",,,,TheLastCrypto,Sun Dec 31 04:45:23 +0000 2017,0,2,0,False,0,False,
ICYMI: GMLCPA Accepting Bitcoin in the First Quarter of the New Year @matrixthinker #crowdsale #blockchain #ICO #cryptocurrency #bitcoin #Ethereum #ripple #litecoin #cardano #verge #stellar #tron https://t.co/MFeRl1Lt63 https://t.co/XbK35bYmGn,en,New York,,,,pamperfashion,Sun Dec 31 04:42:02 +0000 2017,0,0,0,False,0,False,
"Quick look at $ADA Cardano's MC nearing 17.7 billion, up 4 billion from just a few days ago https://t.co/U7U6CN7HTm",en,"California, USA",,,,CyrptoNut,Sun Dec 31 04:38:21 +0000 2017,0,1,0,False,0,False,
"#Verge is about lift off and I believe a #Tesla will be taking off with it to #Mars with a digital wallet full of #XVG #CryptoCurrency #WraithProtocol #Bitcoin #XRP #Cardano #ADA #Ripple #XRP #IOTA #Komodo #DEEPOnion #Anonymous #TribalSovereignty 

https://t.co/x8Pcj67ZcR",en,"Charlotte, NC",,,,TheLastCrypto,Sun Dec 31 04:33:49 +0000 2017,1,0,0,False,0,False,
#Verge #WraithProtocol is on its way! #Invest while the price is still relatively low. #ThankYouNASAthankYouNASAthankYouNASA #XVG #Cryptocurrency #Bitcoin #Ripple #Cardano #DeepOnion #Komodo #KMD #TheRevolutionWillNotBeTelevised https://t.co/bpGHctj6eW,en,"Charlotte, NC",,,,TheLastCrypto,Sun Dec 31 04:25:46 +0000 2017,1,1,1,False,0,False,
eXtra eXtra! To the #moon today leading the charts at 40% #cardano #crypto hodlers said today… https://t.co/K7aDJTq37B,en,Egypt,,,,Coast_on_Crypto,Sun Dec 31 04:18:49 +0000 2017,0,0,0,False,0,False,
Cardano: Ethereum and NEO Killer or Overhyped and Overpriced? via @noamlevenson - https://t.co/c3oatBFi00 #Blockchain #Ethereum,en,"New York, NY",,,,donf126,Sun Dec 31 04:18:48 +0000 2017,0,1,0,False,0,False,
"Ripple, cardano hipper inflated https://t.co/5UDqJ3fWiI",en,Orlando Fl. Insta jleenmarie,,,,javier_8944,Sun Dec 31 04:15:51 +0000 2017,0,0,0,False,0,True,
I liked a @YouTube video https://t.co/U3YzieDVPB LIVE: AMA With Charles Hoskinson of Cardano!,en,Buy now,,,,TheeHustleHouse,Sun Dec 31 04:10:26 +0000 2017,0,0,0,False,0,False,
Where can I buy Cardano (ADA) now is $.68 #ADA #Bitcoin #cryptocurrency,en,"Chicago, IL",,,,AgarBoss_YT,Sun Dec 31 04:05:24 +0000 2017,0,1,0,False,0,False,
#cryptocurrency #trx #xlm #ada #voin 🚀🚀🚀🚀#tron #cardano #stellar #vergecoin #retire early,en,"Orange, CA",,,,kkMortgageGirl,Sun Dec 31 04:04:32 +0000 2017,0,0,0,False,0,False,
$ADA #Cardano is now resting on 3x the initial candle and finding a lot of resistance. These areas will be key levels as the market continues both as resistance and support. https://t.co/sdveUVL57f,en,"Michigan, USA",,,,SlingshotFuture,Sun Dec 31 03:56:18 +0000 2017,0,0,1,False,0,False,
Ripple - Why I'm Dumping All Of My Ripple Tokens - Ripple Vs Cardano: https://t.co/TAs6pKOwhw via @YouTube,en,"California, USA",,,,BitcoinHomebase,Sun Dec 31 03:27:09 +0000 2017,0,0,0,False,0,False,
I added a video to a @YouTube playlist https://t.co/TAs6pKOwhw Ripple - Why I'm Dumping All Of My Ripple Tokens - Ripple Vs Cardano,en,"California, USA",,,,BitcoinHomebase,Sun Dec 31 03:27:06 +0000 2017,0,0,0,False,0,False,
"#cryptocurrency #Cardano #doge #Siacoin #Golem #Bytecoin looking for heavy hitters and some returns this 2018 keep watch for these.. Solid track records, low cost and good history. https://t.co/6AZ6aBEFIm",en,U.S.A.,,,,bizy_flow,Sun Dec 31 03:16:26 +0000 2017,0,1,1,False,0,False,
#BitcoinCash bounties promised by @ProfFaustus in #2018 will make $BCH 🚀🚀🚀#Bitcoin #Cardano #ethereum #Litecoin,en,your .. memory,,,,indianinchicago,Sun Dec 31 02:52:26 +0000 2017,0,0,0,False,0,False,
One smart dude! AMA With Charles Hoskinson of Cardano! https://t.co/sFzT8S1Jtj via @YouTube,en,chicago il,,,,leftyhokum,Sun Dec 31 02:29:44 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/Vni7CFcX0G LIVE: AMA With Charles Hoskinson of Cardano!,en,"Troy, IL",,,,BitsBeTrippin,Sun Dec 31 01:57:48 +0000 2017,0,0,0,False,0,False,
So excited to see #cardano #ada going up and up. #excited #NYE2017 #Cryptocurreny #cryptolife,en,"Block 3.14159265359
",,,,PieceOfThePy,Sun Dec 31 01:55:27 +0000 2017,0,1,0,False,0,False,
Cardano taking off today with a 30% gain. Congrats to hodlers 🔥 #ada $ada,en,"New York, NY",,,,AltcoinNerd,Sun Dec 31 01:54:28 +0000 2017,0,0,0,False,0,False,
Cardano hitting all time highs. Glad I got in @ .13. I think I'm gonna Hodl for now. Bitcoin is… https://t.co/AqkcMwnhea,en,Las Vegas,,,,SenLV,Sun Dec 31 01:54:14 +0000 2017,0,0,0,False,0,False,
Cardano on the move again https://t.co/ZjRVJYiqMA,en,New York City,,,,ArisenDragon,Sun Dec 31 01:46:23 +0000 2017,0,0,0,False,0,False,
Just watched a live AMA with Charles Hoskinson of Cardano.and WOW! The things his company  will do is going  to... https://t.co/0NQmcUP2Ni,en,Providence RI,,,,TBWModelJB,Sun Dec 31 01:42:44 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/0cgNwIcjkS Cardano: Ethereum &amp; NEO Killer or Over-Price + Over Valued? / McAfee Loses Crypto,en,"Chandler, AZ",,,,Neoj1n,Sun Dec 31 01:34:17 +0000 2017,0,0,0,False,0,False,
LIVE: AMA With Charles Hoskinson of Cardano! https://t.co/C3vZjPzzLm #Cardano #Charles Hoskinson https://t.co/bIRR9cCqJk,en,Northern California,,,,earnwithmelton,Sun Dec 31 01:30:07 +0000 2017,0,0,1,False,0,False,
Adapt or get left behind #bitcoin #ethereum #ripple #litecoin #crypto #money #monero #iota #cardano https://t.co/EYCLtTAdal,en,Scottsdale/ Rio De Janeiro  ,,,,Bread__Season,Sun Dec 31 01:29:52 +0000 2017,0,0,0,False,0,True,
LIVE: AMA With Charles Hoskinson of Cardano! https://t.co/mVidjl4X2U via @YouTube,en,United States,,,,NCDFS,Sun Dec 31 01:19:46 +0000 2017,0,0,0,False,0,False,
When ur #cardano #alerts be popping off #ada #leggo https://t.co/e5V1dNMq5e,en,los angeles,,,,bullygeek,Sun Dec 31 01:15:31 +0000 2017,0,0,0,False,0,False,
Get tips and news on #cryptocurrency at https://t.co/1tvqdkJjeV #bitcoin #altcoin #ethereum #litecoin #tron #verge #ripple #cardano,en,"Tampa, FL",,,,dollar_passion,Sun Dec 31 01:12:14 +0000 2017,0,1,1,False,0,False,
Cardano $ADA new all time high! Last price: $0.71 USD,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 01:11:49 +0000 2017,0,0,1,False,0,False,
"Go @ADAcoin_ go!

#ADA #Cardano #BULLISH #Bittrex #HODL",en,"Las Vegas, NV",,,,NV_Patriot,Sun Dec 31 01:06:17 +0000 2017,0,0,0,False,0,False,
Cardano creator interview!! https://t.co/3n7vzKwf6w,en,"Los Angeles, CA",,,,BitcoinLouie,Sun Dec 31 01:02:31 +0000 2017,0,0,0,False,0,True,
Don’t forget about #ada #cardano slowly going towards $1,en,"St Petersburg, FL",,,,anukashi,Sun Dec 31 00:59:20 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/YngrIBuQNw Cardano: Ethereum &amp; NEO Killer or Over-Price + Over Valued? / McAfee Loses Crypto,en,Philadelphia PA,,,,JVizionServices,Sun Dec 31 00:57:17 +0000 2017,0,0,0,False,0,False,
I liked a @YouTube video https://t.co/GE518rKUCy LIVE: AMA With Charles Hoskinson of Cardano!,en,"Puerto plata, DR",,,,BrkinElegance,Sun Dec 31 00:55:48 +0000 2017,0,0,0,False,0,False,
"yezzzzz #Cardano 👏👏👏 lets pass yesterdays high! More volume! 
$ada #ada #Cryptocurrency",en,los angeles,,,,bullygeek,Sun Dec 31 00:53:32 +0000 2017,0,0,0,False,0,False,
Cardano $ADA new all time high! Last price: $0.70 USD,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 00:52:59 +0000 2017,0,0,1,False,0,False,
Cardano $ADA new all time high! Last price: 0.00005574 BTC,en,"San Francisco, CA",,,,GetCoinAlerts,Sun Dec 31 00:51:48 +0000 2017,0,0,0,False,0,False,
